10248,1,1200.0,2,0.00%
10248,2,5200.0,22,10.00%
10247,3,2200.0,230,2.00%
10247,2,5200.0,22,0.00%
10246,4,12200.0,23,20.00%
10248,5,1800.0,15,5.00%
10247,6,890.0,60,0.00%
10246,7,670.0,100,1.00%
10248,8,4200.0,17,10.00%
10247,9,3200.0,29,5.00%
10246,10,4300.0,18,2.00%
10248,11,1300.0,35,0.00%
10247,12,950.0,45,0.00%
10246,13,8800.0,5,5.00%
10248,14,640.0,67,2.00%
10247,15,2700.0,40,0.00%
10246,16,3200.0,28,0.00%
10248,17,7400.0,10,0.00%
10247,18,5700.0,12,1.00%
10246,19,3600.0,31,0.00%
10248,20,2200.0,58,0.00%
10247,21,4100.0,22,10.00%
10246,22,6200.0,14,5.00%
10248,23,7800.0,6,0.00%
10247,24,1300.0,54,2.00%
10246,25,3100.0,24,0.00%
10248,26,2500.0,43,0.00%
10247,27,890.0,70,0.00%
10246,28,4600.0,21,0.00%
10248,29,5400.0,16,0.00%
10247,30,3800.0,33,0.00%
10246,31,1900.0,45,0.00%
10248,32,7800.0,6,0.00%
10247,33,4400.0,19,0.00%
10246,34,5400.0,16,0.00%
